benchmark,run,result
function_call,norm_first,timeout
function_call,ssa_first,timeout
dead-branch,norm_first,2197
dead-branch,ssa_first,2197
gcd,norm_first,78
gcd,ssa_first,78
bitshift,norm_first,195
bitshift,ssa_first,195
totient,norm_first,616
totient,ssa_first,547
relative-primes,norm_first,3108
relative-primes,ssa_first,3108
quadratic,norm_first,1577
quadratic,ssa_first,1533
birthday,norm_first,1084
birthday,ssa_first,923
catalan,norm_first,1023511
catalan,ssa_first,1023511
euclid,norm_first,901
euclid,ssa_first,880
palindrome,norm_first,519
palindrome,ssa_first,507
fact,norm_first,250
fact,ssa_first,250
rectangles-area-difference,norm_first,18
rectangles-area-difference,ssa_first,18
factors,norm_first,130
factors,ssa_first,130
sum-bits,norm_first,102
sum-bits,ssa_first,102
digital-root,norm_first,364
digital-root,ssa_first,351
recfact,norm_first,119
recfact,ssa_first,119
lcm,norm_first,3361
lcm,ssa_first,3361
reverse,norm_first,84
reverse,ssa_first,84
armstrong,norm_first,198
armstrong,ssa_first,194
fitsinside,norm_first,11
fitsinside,ssa_first,11
collatz,norm_first,259
collatz,ssa_first,259
up-arrow,norm_first,483
up-arrow,ssa_first,483
fizz-buzz,norm_first,10410
fizz-buzz,ssa_first,10410
hanoi,norm_first,137
hanoi,ssa_first,137
pascals-row,norm_first,281
pascals-row,ssa_first,281
sum-divisors,norm_first,259
sum-divisors,ssa_first,259
orders,norm_first,8532
orders,ssa_first,8532
ackermann,norm_first,1722329
ackermann,ssa_first,1722329
mod_inv,norm_first,1071
mod_inv,ssa_first,1041
check-primes,norm_first,17820
check-primes,ssa_first,17092
is-decreasing,norm_first,212
is-decreasing,ssa_first,205
perfect,norm_first,481
perfect,ssa_first,437
pythagorean_triple,norm_first,115904
pythagorean_triple,ssa_first,108277
loopfact,norm_first,235
loopfact,ssa_first,217
bitwise-ops,norm_first,2409
bitwise-ops,ssa_first,2409
binary-fmt,norm_first,145
binary-fmt,ssa_first,145
primes-between,norm_first,1121005
primes-between,ssa_first,879739
sum-sq-diff,norm_first,6273
sum-sq-diff,ssa_first,5667
sum-check,norm_first,8023
sum-check,ssa_first,8023
cordic,norm_first,3622
cordic,ssa_first,3613
sqrt,norm_first,686
sqrt,ssa_first,666
n_root,norm_first,1223
n_root,ssa_first,1223
euler,norm_first,2467
euler,ssa_first,2448
leibniz,norm_first,timeout
leibniz,ssa_first,timeout
conjugate-gradient,norm_first,4013
conjugate-gradient,ssa_first,3863
norm,norm_first,869
norm,ssa_first,857
newton,norm_first,271
newton,ssa_first,271
pow,norm_first,69
pow,ssa_first,65
ray-sphere-intersection,norm_first,143
ray-sphere-intersection,ssa_first,143
riemann,norm_first,473
riemann,ssa_first,473
mandelbrot,norm_first,3008674
mandelbrot,ssa_first,2987770
max-subarray,norm_first,272
max-subarray,ssa_first,272
quickselect,norm_first,467
quickselect,ssa_first,467
quicksort,norm_first,422
quicksort,ssa_first,422
major-elm,norm_first,73
major-elm,ssa_first,73
mat-mul,norm_first,4016952
mat-mul,ssa_first,3504402
fib,norm_first,212
fib,ssa_first,203
bubblesort,norm_first,375
bubblesort,ssa_first,361
sieve,norm_first,5484
sieve,ssa_first,5484
eight-queens,norm_first,1845093
eight-queens,ssa_first,1845093
two-sum,norm_first,179
two-sum,ssa_first,173
quicksort-hoare,norm_first,41412
quicksort-hoare,ssa_first,41162
binary-search,norm_first,85
binary-search,ssa_first,85
csrmv,norm_first,256351
csrmv,ssa_first,184080
vsmul,norm_first,106526
vsmul,ssa_first,106526
adler32,norm_first,12399
adler32,ssa_first,11887
primitive-root,norm_first,12450
primitive-root,ssa_first,12392
adj2csr,norm_first,93178
adj2csr,ssa_first,91066
dot-product,norm_first,130
dot-product,ssa_first,130
mat-inv,norm_first,1299
mat-inv,ssa_first,1281
cholesky,norm_first,8400
cholesky,ssa_first,7730
