benchmark,run,result
function_call,baseline,timeout
function_call,licm,timeout
dead-branch,baseline,2297
dead-branch,licm,2199
gcd,baseline,83
gcd,licm,83
bitshift,baseline,195
bitshift,licm,195
totient,baseline,569
totient,licm,569
relative-primes,baseline,3129
relative-primes,licm,3129
quadratic,baseline,1577
quadratic,licm,1577
birthday,baseline,946
birthday,licm,946
catalan,baseline,1072718
catalan,licm,1072718
euclid,baseline,901
euclid,licm,901
palindrome,baseline,609
palindrome,licm,609
fact,baseline,250
fact,licm,250
rectangles-area-difference,baseline,18
rectangles-area-difference,licm,18
factors,baseline,158
factors,licm,158
sum-bits,baseline,109
sum-bits,licm,109
digital-root,baseline,373
digital-root,licm,373
recfact,baseline,119
recfact,licm,119
lcm,baseline,3490
lcm,licm,3490
reverse,baseline,115
reverse,licm,115
armstrong,baseline,210
armstrong,licm,210
fitsinside,baseline,11
fitsinside,licm,11
collatz,baseline,259
collatz,licm,259
up-arrow,baseline,516
up-arrow,licm,498
fizz-buzz,baseline,10511
fizz-buzz,licm,10511
hanoi,baseline,137
hanoi,licm,137
pascals-row,baseline,287
pascals-row,licm,287
sum-divisors,baseline,280
sum-divisors,licm,280
orders,baseline,9053
orders,licm,9053
ackermann,baseline,1722329
ackermann,licm,1722329
mod_inv,baseline,1056
mod_inv,licm,1056
check-primes,baseline,17506
check-primes,licm,17506
is-decreasing,baseline,212
is-decreasing,licm,212
perfect,baseline,459
perfect,licm,459
pythagorean_triple,baseline,116028
pythagorean_triple,licm,108525
loopfact,baseline,226
loopfact,licm,226
bitwise-ops,baseline,2474
bitwise-ops,licm,2474
binary-fmt,baseline,145
binary-fmt,licm,145
primes-between,baseline,920951
primes-between,licm,881739
sum-sq-diff,baseline,5869
sum-sq-diff,licm,5869
sum-check,baseline,9024
sum-check,licm,9024
cordic,baseline,3622
cordic,licm,3622
sqrt,baseline,676
sqrt,licm,676
n_root,baseline,1344
n_root,licm,1344
euler,baseline,2467
euler,licm,2467
leibniz,baseline,timeout
leibniz,licm,timeout
conjugate-gradient,baseline,4072
conjugate-gradient,licm,4048
norm,baseline,924
norm,licm,924
newton,baseline,284
newton,licm,284
pow,baseline,67
pow,licm,67
ray-sphere-intersection,baseline,143
ray-sphere-intersection,licm,143
riemann,baseline,500
riemann,licm,500
mandelbrot,baseline,3000099
mandelbrot,licm,3000099
max-subarray,baseline,283
max-subarray,licm,283
quickselect,baseline,483
quickselect,licm,483
quicksort,baseline,471
quicksort,licm,471
major-elm,baseline,86
major-elm,licm,86
mat-mul,baseline,3649509
mat-mul,licm,3522109
fib,baseline,212
fib,licm,212
bubblesort,baseline,386
bubblesort,licm,386
sieve,baseline,5976
sieve,licm,5976
eight-queens,baseline,1913551
eight-queens,licm,1913460
two-sum,baseline,175
two-sum,licm,175
quicksort-hoare,baseline,44706
quicksort-hoare,licm,44706
binary-search,baseline,85
binary-search,licm,85
csrmv,baseline,203142
csrmv,licm,203142
vsmul,baseline,110623
vsmul,licm,110623
adler32,baseline,12942
adler32,licm,12941
primitive-root,baseline,12481
primitive-root,licm,12481
adj2csr,baseline,96544
adj2csr,licm,95552
dot-product,baseline,135
dot-product,licm,135
mat-inv,baseline,1309
mat-inv,licm,1291
cholesky,baseline,7982
cholesky,licm,7880
